CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6037218210,California,Los Angeles,3991,2171,1820,71.8,6.9,18.0,0.0,3.0,0.0,1676,33988.0,4965.0,13891.0,1745.0,27.6,41.5,11.7,40.1,15.4,15.7,17.0,60.4,5.9,26.5,4.4,0.2,2.7,37.8,1884,72.8,8.4,18.1,0.7,9.5
6037218220,California,Los Angeles,4592,2178,2414,55.3,9.6,28.2,0.0,4.2,0.0,2389,37377.0,6969.0,25874.0,6899.0,24.7,35.0,28.4,33.0,21.4,7.5,9.7,63.2,7.2,22.3,3.6,2.7,0.9,32.3,2179,74.5,11.8,13.2,0.4,5.4
6037218300,California,Los Angeles,5781,2609,3172,48.2,10.1,37.1,0.0,2.4,0.0,3826,37961.0,7389.0,18162.0,2607.0,22.2,27.5,27.1,28.6,26.6,10.2,7.5,65.0,15.4,13.4,1.7,0.7,3.8,28.5,2479,71.7,13.5,14.0,0.8,15.6
6037218400,California,Los Angeles,4290,1937,2353,65.3,4.6,28.1,0.0,0.3,0.0,2397,30920.0,5490.0,14244.0,2082.0,28.4,36.9,29.0,28.9,24.8,8.9,8.4,71.5,17.8,5.8,0.0,1.9,3.0,25.6,1648,81.5,7.7,10.8,0.0,10.3
6037218500,California,Los Angeles,2819,1491,1328,55.1,2.9,35.9,0.0,1.9,0.0,1669,40778.0,10677.0,19725.0,2872.0,28.6,48.3,26.4,24.8,24.8,15.1,8.8,65.2,9.7,18.2,1.5,0.6,4.8,32.9,1320,72.2,12.3,15.5,0.0,14.5
6037218600,California,Los Angeles,3440,1533,1907,59.4,2.7,33.4,1.6,2.0,0.0,1995,41959.0,9726.0,17419.0,2299.0,24.8,44.2,23.4,31.7,29.1,7.0,8.9,61.2,19.0,12.3,2.0,1.7,3.7,32.8,1534,85.7,8.3,6.1,0.0,10.1
6037218701,California,Los Angeles,2472,1148,1324,34.3,6.5,47.2,2.0,7.9,0.0,1726,41685.0,9850.0,24741.0,3351.0,21.2,27.2,35.0,20.5,20.7,11.4,12.4,78.0,4.0,12.0,0.9,1.7,3.4,34.7,1104,77.4,8.7,13.4,0.5,13.8
6037218702,California,Los Angeles,2178,1027,1151,47.1,2.1,41.6,0.5,2.9,0.0,1187,32083.0,11748.0,18312.0,5224.0,29.7,35.2,23.8,33.6,17.9,8.1,16.5,73.8,5.5,9.9,0.7,5.1,5.0,30.6,764,76.4,11.0,12.6,0.0,21.2
6037218800,California,Los Angeles,2699,1403,1296,58.1,3.7,25.0,0.0,7.4,0.0,1431,42005.0,3580.0,19206.0,2716.0,18.8,32.1,22.0,33.1,23.3,10.7,11.0,62.9,13.0,18.2,2.1,1.9,2.0,33.1,1321,78.8,14.1,7.1,0.0,14.2
6037218900,California,Los Angeles,5828,2778,3050,50.8,6.9,36.4,0.0,1.4,0.0,3090,32117.0,3934.0,15915.0,1953.0,23.8,23.2,23.7,27.0,22.7,11.1,15.5,64.0,7.2,19.6,1.7,2.9,4.6,36.3,2655,73.5,11.8,14.7,0.0,8.8
6037219010,California,Los Angeles,2694,1202,1492,58.9,5.4,32.1,0.0,2.6,0.0,1481,44479.0,18517.0,16837.0,1783.0,31.4,53.9,25.2,37.5,17.8,9.1,10.5,75.7,8.4,8.4,0.0,2.3,5.1,28.6,1124,67.3,15.4,17.3,0.0,13.4
6037219020,California,Los Angeles,4275,2164,2111,57.0,3.4,32.7,0.0,6.2,0.0,2599,39950.0,10367.0,16900.0,2239.0,17.5,20.2,17.6,35.4,23.3,7.2,16.6,71.4,11.0,5.5,2.2,6.6,3.3,30.0,2089,80.8,9.3,9.9,0.0,9.6
6037219300,California,Los Angeles,4433,2033,2400,56.4,3.5,32.3,0.0,3.2,1.6,2091,27303.0,5026.0,14036.0,2827.0,28.4,48.4,13.3,37.3,26.0,11.4,12.0,73.1,3.0,14.4,3.1,1.7,4.8,34.4,1937,81.3,6.6,12.1,0.0,10.2
6037219500,California,Los Angeles,1727,764,963,29.8,3.2,39.1,0.0,17.3,0.0,1305,56741.0,12445.0,33139.0,4150.0,9.0,14.6,31.8,28.6,22.3,7.8,9.4,80.7,11.5,4.9,1.5,1.5,0.0,29.2,807,74.2,23.5,2.2,0.0,15.4
6037219700,California,Los Angeles,4180,2023,2157,66.6,5.0,26.6,0.0,0.9,0.0,2462,49826.0,15196.0,21866.0,2215.0,12.3,12.6,24.1,30.8,23.5,9.8,11.9,78.8,4.2,12.7,2.0,0.6,1.7,33.4,2289,82.0,10.9,7.1,0.0,10.1
6037219800,California,Los Angeles,3024,1599,1425,73.5,2.0,22.5,0.1,1.9,0.0,1451,28789.0,4567.0,13078.0,1562.0,34.6,49.6,14.5,38.1,22.1,13.2,12.1,60.7,19.6,13.4,0.9,2.7,2.7,32.7,1315,80.1,4.9,15.0,0.0,13.2
6037219901,California,Los Angeles,4494,2359,2135,77.4,3.4,17.9,0.0,0.2,0.0,2018,24870.0,6230.0,12189.0,1888.0,37.9,51.5,11.6,30.6,25.9,16.5,15.4,65.3,12.8,15.3,2.8,2.7,1.0,30.4,1987,79.4,10.6,10.1,0.0,12.6
6037219902,California,Los Angeles,4030,2052,1978,67.4,5.6,21.9,0.3,2.9,0.0,2095,39889.0,5942.0,18612.0,3579.0,18.5,38.1,14.9,28.4,31.3,16.1,9.2,62.9,22.2,7.4,2.2,4.6,0.8,27.8,2109,84.8,3.7,11.1,0.4,10.9
6037220000,California,Los Angeles,5754,2610,3144,50.2,6.0,41.1,0.0,1.3,0.0,3725,38226.0,7606.0,21256.0,3153.0,25.1,31.2,28.8,21.9,21.9,10.3,17.1,63.9,17.3,9.8,1.2,2.1,5.7,34.9,2880,73.3,9.6,17.1,0.0,9.3
